time,pdu_id,upf_id,cpu_allocated,observed_latency,required_cpu,required_max_latency,status,event
58.56,1,0.0,39.25727173913044,0.69,39.25727173913044,0.69,SATISFIED,REBALANCE
58.56,6,0.0,44.80635080645161,0.62,44.80635080645161,0.62,SATISFIED,REBALANCE
58.56,22,0.0,30.48658132530121,0.83,30.48658132530121,0.83,SATISFIED,REBALANCE
58.56,25,0.0,57.65680182926829,0.82,57.65680182926829,0.82,SATISFIED,REBALANCE
58.56,27,0.0,75.4910909090909,0.66,75.4910909090909,0.66,SATISFIED,REBALANCE
58.56,28,0.0,28.55842021276596,0.94,28.55842021276596,0.94,SATISFIED,REBALANCE
59.12,63,2.0,0.0,inf,44.88110759493671,0.79,UNSATISFIED,START
59.57,64,2.0,0.0,inf,105.03959239130435,0.46,UNSATISFIED,START
59.89,65,2.0,0.0,inf,54.24604360465116,0.86,UNSATISFIED,START
60.68,66,2.0,0.0,inf,46.66154910714285,0.56,UNSATISFIED,START
60.83,67,2.0,0.0,inf,37.18721014492754,0.69,UNSATISFIED,START
62.45,68,2.0,0.0,inf,50.60527205882353,0.68,UNSATISFIED,START
62.53,69,2.0,0.0,inf,56.579790624999994,0.8,UNSATISFIED,START
